Company Pair,Count
"('Cameron', 'Shell')",10
"('Alberta Energy Regulator', 'Baytex')",10
"('Baker Hughes', 'IHS')",10
"('ESG', 'Enerplus')",10
"('Eagle Ford', 'Freehold Royalties')",10
"('Devon Energy', 'SLB')",10
"('ESG', 'MEG Energy')",10
"('CAPP', 'Eastern')",10
"('BP', 'Woodside')",10
"('ExxonMobil', 'Woodside')",10
"('Equinor', 'Tampen')",10
"('Peace River Oil Partnership', 'Penn West')",10
"('Continental', 'Halliburton')",10
"('Apache', 'Occidental')",10
"('Alberta Energy Regulator', 'Keystone')",10
"('Devon Energy', 'EOG')",10
"('Alberta Energy Regulator', 'Hemisphere Energy')",10
"('Imperial Oil', 'Twitter')",10
"('Edison', 'RGC Resources')",10
"('Baytex', 'McDaniel & Associates Consultants')",10
"('EOG', 'Parsley Energy')",10
"('BP', 'Microsoft')",10
"('Hemisphere Energy', 'McDaniel & Associates Consultants')",10
"('Eastern', 'Halliburton')",10
"('NOV', 'SLB')",9
"('Equinor', 'Snorre')",9
"('ExxonMobil', 'Phillips 66')",9
"('Eagle Ford', 'McDaniel & Associates Consultants')",9
"('BP', 'Hilcorp')",9
"('Bloomberg', 'Gazprom')",9
"('BP', 'Novatek')",9
"('Whitecap', 'XTO')",9
"('Anadarko Petroleum', 'Shell')",9
"('Chevron', 'ONGC')",9
"('Cheniere Energy', 'Chesapeake')",9
"('Baytex', 'Cenovus')",9
"('Bloomberg', 'Suncor')",9
"('Continental', 'Statoil')",9
"('Eagle Ford', 'Ranger Oil Corporation')",9
"('ExxonMobil', 'Novatek')",9
"('Pinecrest', 'Virginia Hills')",9
"('BP', 'Petoro')",9
"('ConocoPhillips', 'Phillips 66')",9
"('Cheniere Energy', 'Kinder Morgan')",9
"('Alberta Energy Regulator', 'Canadian Natural Resources')",9
"('Crescent Point', 'Tourmaline')",9
"('Anadarko Petroleum', 'ExxonMobil')",9
"('Aker BP', 'Petoro')",9
"('FPSO', 'Repsol')",9
"('ADNOC', 'Baker Hughes')",9
"('Carbon Solutions', 'Woods')",9
"('Alliance', 'FPSO')",9
"('McDaniel & Associates Consultants', 'Zargon Oil')",9
"('Intel', 'Whitecap')",9
"('EOG', 'ExxonMobil')",9
"('Enbridge', 'MEG Energy')",9
"('Google', 'Shell')",9
"('Baytex', 'Ranger Oil Corporation')",9
"('Alliance', 'KKR')",9
"('Cameron', 'Sempra Energy')",9
"('Enbridge', 'Phillips 66')",9
"('Eastern', 'KPMG')",9
"('Chevron', 'Parsley Energy')",9
